bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;nombre del lugar;habitat;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;fuego.bloque;fuego.celda;H;h;conuco.dist.m;conuco.bloque;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun;ln.comun
B01;P3;IS04;S0;Is04-2n;5,4760;-61,2560;2016-02-11;6:30:00;2016-04-08;16:33;2016-02-11;7:10:16;0;Kawi;sabana;no;0;no;0;0;7;21;0;1,69;0,4;3890,2;0;8,3;9;2,197224577;0,011871462;0,171552315
B01;P1;IS06;S0;IS06;5,475919973;-61,24341002;2015-09-24;13:50:00;2015-11-29;13:40;2015-11-29;13:40:00;66;Kawi;arbustros;no;0;no;0;0;7;21;1;1,69;0,4;2694,4;0;7,9;12;2,48490665;0,018155966;0,596414129
B01;P2;IS06;S0;IS06;5,475919973;-61,24341002;2015-11-29;13:41:00;2016-01-26;11:23;2016-01-26;11:23:00;58;Kawi;arbustros;no;0;no;0;0;7;21;1;1,69;0,4;2694,4;0;7,9;12;2,48490665;0,018155966;0,596414129
B01;P3;IS06;S0;IS06;5,475919973;-61,24341002;2016-01-26;11:24:00;2016-04-08;15:52;2016-04-08;15:52:00;73;Kawi;arbustros;no;0;no;0;0;7;21;1;1,69;0,4;2694,4;0;7,9;12;2,48490665;0,018155966;0,596414129
B01;P1;IS12;S0;Is12;5,506299008;-61,27375603;2015-09-26;14:00:00;2015-11-29;08:00;2015-09-27;11:18:32;1;salto Golondrina;arbustros;si;1;no;0;0;7;21;0;1,69;0,4;7436,2;0;8,9;11;2,397895273;0,045213082;1,508801377
B01;P3;IS12;SF;Is12-2n;5,5008;-61,2357;2016-01-26;15:36:00;2016-04-08;14:16;2016-04-08;14:16:00;73;Kawi;sabana con arbustros;si;1;si;1;1;7;21;1;1,69;0,4;4594,9;0;8,4;8;2,079441542;0,042455996;1,445883067
B01;P2;IS12;Sf;Is12-n;5,4799;-61,2293;2015-11-29;16:47:00;2016-01-26;13:57;2016-01-14;13:51:46;46;Kawi;arbustral;si;1;si;1;1;7;21;1;1,69;0,4;2179,5;0;7,7;11;2,397895273;0,029018663;1,065354091
B01;P1;IS13;S0;Is13;5,522092022;-61,27196699;2015-09-26;12:20:00;2015-11-29;08:55;2015-11-14;13:07:40;49;salto Golondrina;arbustros;si;1;no;0;0;7;21;0;1,69;0,4;8589,9;0;9,1;13;2,564949357;0,059730236;1,787253272
B01;P2;IS13;SF;Is13-n;5,4854;-61,2330;2015-11-29;15:18:00;2016-01-26;12:57;2015-12-04;23:50:12;5;Kawi;sabana;si;1;si;1;1;7;21;1;1,69;0,4;2879,6;0;8,0;10;2,302585093;0,032222446;1,170078192
B01;P1;IS14;s0;Is14;5,525935963;-61,27128496;2015-09-26;11:30:00;2015-11-29;09:30;2015-10-07;13:07:33;11;salto Golondrina;arbustros;si;1;no;0;0;7;21;3;1,69;0,4;8884,6;0;9,1;21;3,044522438;0,063308683;1,845437396
B01;P3;IS14;SF;Is14-2n;5,4991;-61,2454;2016-01-26;16:24:00;2016-04-08;14:38;2016-04-08;14:38:00;73;Kawi;sabana con arbustros;si;1;si;1;1;7;21;3;1,69;0,4;4830,9;0;8,5;10;2,302585093;0,036832112;1,303784968
B01;P2;IS14;Sf;Is14-n;5,4863;-61,2242;2015-11-29;16:00:00;2016-01-26;14:38;2016-01-26;14:38:00;58;Kawi;sabana;si;1;si;1;1;7;21;0;1,69;0,4;2822,4;0;7,9;13;2,564949357;0,037127932;1,311784464
B01;P1;IS15;S0;IS15;5,471606981;-61,25947502;2015-09-24;12:04:00;2015-09-24;12:14;2015-10-13;8:05:15;19;Kawi;arbustros;no;0;no;0;0;7;21;1;1,69;0,4;4072,8;0;8,3;10;2,302585093;0,007729821;-0,257499382
