nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
1;28;B06;P1;RAS;bF;bF2;OBS;0;5,4903;-61,1671;29;9;2015;00:00:00;00:00:00;0;MP;C.unicinctus;OBS;1;4;insect;pequeno
2;22;B06;P1;RAS;bF;bF2;OBS;0;5,49;-61,1668;29;9;2015;00:00:00;00:00:00;0;MP;C.unicinctus;OBS;1;4;insect;pequeno
3;26;B06;P1;RAS;bF;bF2;MAD;0;5,4951;-61,166;29;9;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
4;27;B06;P1;RAS;BF;BF3;MAD;0;5,4941;-61,1532;29;9;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
5;18;B06;P1;RAS;BF;BF3;MAD;0;5,4936;-61,1534;29;9;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
6;23;B06;P1;RAS;bF;bF2;MAD;0;5,4939;-61,1638;29;9;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
7;29;B06;P1;RAS;bF;bF2;MAD;0;5,517;-61,1748;30;9;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
8;100000;B01;P1;RAS;S0;S0;HUE;0;5,4755;-61,2434;24;9;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;HUE;1;4;insect;mediano
9;1;B01;P1;RAS;S0;S0;HUE;0;5,475;-61,2436;24;9;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;HUE;1;4;insect;mediano
10;12;B01;P1;RAS;S0;S0;MAD;0;5,5179;-61,2723;26;9;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
11;33;B06;P1;RAS;S0;S0;HUE;0;5,5087;-61,1549;30;9;2015;00:00:00;00:00:00;0;MP;H.hydrochaeris;HUE;1;4;herb;grande
12;15;B06;P1;RAS;bF;bF2;OBS;0;5,49;-61,1668;29;9;2015;00:00:00;00:00:00;0;MP;M.americana;OBS;1;4;herb;grande
13;24;B06;P1;RAS;S0;S0;ARAN;0;5,4908;-61,175;29;9;2015;00:00:00;00:00:00;0;MP;M.americana;ARAN;1;4;herb;grande
14;10;B01;P1;RAS;S0;S0;HUE;0;5,5179;-61,2723;26;9;2015;00:00:00;00:00:00;0;MP;M.tridactyla;HUE;1;4;insect;grande
15;13;B01;P1;RAS;S0;S0;OBS;0;5,5082;-61,2721;26;9;2015;00:00:00;00:00:00;0;MP;O.virginianus;OBS;1;4;herb;grande
16;25;B06;P1;RAS;BF;BF3;ARAN;0;5,494;-61,1533;29;9;2015;00:00:00;00:00:00;0;MP;P.concolor;ARAN;1;4;carniv;grande
17;19;B06;P1;RAS;bF;bF2;HUE;0;5,4904;-61,1716;29;9;2015;00:00:00;00:00:00;0;MP;P.concolor;HUE;1;4;carniv;grande
18;25;B06;P1;RAS;sF;sF2;MAD;0;5,4968;-61,1571;29;9;2015;00:00:00;00:00:00;0;MP;P.maximus;MAD;1;4;insect;grande
19;88;B06;P1;RAS;s0;s01;MAD;0;5,5204;-61,1896;30;9;2015;00:00:00;00:00:00;0;MP;P.onca;MAD;1;4;carniv;grande
20;597;B01;P1;IS14;s0;s01;IS14_E116;11;5,5259;-61,2713;29;9;2015;02:46:23;02:46:38;00:00:15;MP;T.tetradactyla;passing;1;5;insect;mediano
21;176;B05;P1;RAS;bF;bF2;HUE;0;5,4648;-61,0887;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
22;39;B05;P1;RAS;S0;S0;HUE;0;5,5163;-61,1263;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
23;36;B06;P1;RAS;S0;S0;HUE;0;5,5118;-61,1391;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
24;80;B06;P1;RAS;S0;S0;HUE;0;5,5238;-61,1373;9;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
25;86;B06;P1;RAS;S0;S0;huesos;0;5,5185;-61,1443;9;10;2015;00:00:00;00:00:00;0;MP;C.thous;huesos;1;4;omniv;mediano
26;35;B05;P1;RAS;sf;sf3;HUE;0;5,5019;-61,0991;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
27;45;B05;P1;RAS;Sf;Sf1;HUE;0;5,5115;-61,1084;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
28;50;B05;P1;RAS;sf;sf3;HUE;0;5,4986;-61,098;1;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
29;172;B05;P1;RAS;sf;sf3;HUE;0;5,4986;-61,098;2;10;2015;00:00:00;00:00:00;0;MP;C.thous;HUE;1;4;omniv;mediano
30;76;B03;P1;RAS;B0;B0;MAD;0;5,5655;-61,0551;7;10;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
31;77;B03;P1;RAS;B0;B0;MAD;0;5,5728;-61,0499;7;10;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
32;82;B02;P1;RAS;S0;S0;MAD;0;5,5551;-61,1171;9;10;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
33;81;B02;P1;RAS;S0;S0;MAD;0;5,5549;-61,1172;9;10;2015;00:00:00;00:00:00;0;MP;D.kappleri;MAD;1;4;insect;mediano
34;99;B03;P1;RAS;B0;B0;MAD;0;5,5521;-61,0542;6;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
35;63;B04;P1;RAS;b0;b01;MAD;0;5,5628;-61,184;4;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
36;46;B05;P1;RAS;bf;bf1;MAD;0;5,4737;-61,0818;1;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
37;45;B05;P1;RAS;bf;bf1;MAD;0;5,4789;-61,0824;1;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
38;47;B05;P1;RAS;bf;bf1;MAD;0;5,4783;-61,0868;1;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
39;100;B03;P1;RAS;s0;s01;MAD;0;5,5638;-61,0579;7;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
40;59;B04;P1;RAS;s0;s01;MAD;0;5,5644;-61,1775;4;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
41;60;B04;P1;RAS;s0;s01;MAD;0;5,547;-61,1775;4;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
42;57;B06;P1;RAS;S0;S0;MAD;0;5,5189;-61,1562;4;10;2015;00:00:00;00:00:00;0;MP;D.novemcinctus;MAD;1;4;insect;mediano
43;174;B02;P1;RAS;Sf;Sf1;EXC;0;5,5754;-61,1197;9;10;2015;00:00:00;00:00:00;0;MP;H.hydrochaeris;EXC;1;4;herb;grande
44;83;B02;P1;RAS;s0;s01;HUE;0;5,5834;-61,1158;9;10;2015;00:00:00;00:00:00;0;MP;H.hydrochaeris;HUE;1;4;herb;grande
45;73;B05;P1;RAS;sf;sf3;HUE;0;5,5323;-61,0927;6;10;2015;00:00:00;00:00:00;0;MP;H.hydrochaeris;HUE;1;4;herb;grande
46;51;B05;P1;RAS;S0;S0;HUE;0;5,5174;-61,1224;1;10;2015;00:00:00;00:00:00;0;MP;L.pardalis;HUE;1;4;carniv;grande
47;52;B05;P1;RAS;sf;sf3;HUE;0;5,5013;-61,099;1;10;2015;00:00:00;00:00:00;0;MP;L.pardalis;HUE;1;4;carniv;grande
48;67;B03;P1;RAS;B0;B0;HUE;0;5,5521;-61,0541;6;10;2015;00:00:00;00:00:00;0;MP;M.americana;HUE;1;4;herb;grande
49;79;B03;P1;RAS;B0;B0;HUE;0;5,5644;-61,0562;7;10;2015;00:00:00;00:00:00;0;MP;M.americana;HUE;1;4;herb;grande
50;62;B04;P1;RAS;b0;b01;cachos;0;5,5565;-61,1846;4;10;2015;00:00:00;00:00:00;0;MP;M.americana;cachos;1;4;herb;grande
51;58;B04;P1;RAS;b0;b01;HUE;0;5,5579;-61,1828;4;10;2015;00:00:00;00:00:00;0;MP;M.americana;HUE;1;4;herb;grande
52;37;B05;P1;RAS;bf;bf1;HUE;0;5,4731;-61,0817;1;10;2015;00:00:00;00:00:00;0;MP;M.americana;HUE;1;4;herb;grande
