nr conseq;nr org;bloque;periodo;camara;charact;char2;evento;fotos;lat;long;dia;mes;ano;hora.ini;hora.fin;duracion;action;species;activity;number of animals;confidence;dieta;tamano
20;597;B01;P1;IS14;s0;s01;IS14_E116;11;5,5259;-61,2713;29;9;2015;02:46:23;02:46:38;00:00:15;MP;T.tetradactyla;passing;1;5;insect;mediano
70;2300;B03;P1;IS19;B0;B0;IS19_E6;3;5,5745;-61,0497;13;10;2015;19:46:03;19:46:04;00:00:01;MP;C.paca;passing;1;5;herb;mediano
71;2484;B04;P1;IS01;b0;b01;IS01_E4;1;5,5622;-61,1852;9;10;2015;00:37:48;00:37:48;00:00:00;MP;C.paca;passing;1;5;herb;mediano
72;2485;B04;P1;IS01;b0;b01;IS01_E5;1;5,5622;-61,1852;11;10;2015;00:14:17;00:14:17;00:00:00;MP;C.paca;passing;1;5;herb;mediano
73;2640;B05;P1;IS07;b0;b01;IS07_E3;9;5,4591;-61,0840;4;10;2015;20:58:43;20:58:59;00:00:16;MP;C.paca;passing;1;5;herb;mediano
74;2644;B05;P1;IS07;b0;b01;IS07_E7;6;5,4591;-61,0840;18;10;2015;00:55:35;00:55:40;00:00:05;MP;C.paca;passing;1;5;herb;mediano
75;2817;B05;P1;LEE04;bf;bf1;LEE040312_E10;12;5,4800;-61,0858;7;10;2015;03:26:04;03:26:17;00:00:13;MP;C.paca;passing;1;5;herb;mediano
76;2818;B05;P1;LEE04;bf;bf1;LEE040312_E11;6;5,4800;-61,0858;8;10;2015;01:00:58;01:01:12;00:00:14;MP;C.paca;passing;1;5;herb;mediano
77;2819;B05;P1;LEE04;bf;bf1;LEE040312_E12;15;5,4800;-61,0858;9;10;2015;03:35:24;03:36:11;00:00:47;MP;C.paca;passing;1;5;herb;mediano
78;2823;B05;P1;LEE04;bf;bf1;LEE040312_E16;15;5,4800;-61,0858;13;10;2015;02:39:04;02:39:46;00:00:42;MP;C.paca;passing;1;5;herb;mediano
79;2824;B05;P1;LEE04;bf;bf1;LEE040312_E17;3;5,4800;-61,0858;14;10;2015;03:31:43;03:31:44;00:00:01;MP;C.paca;passing;1;5;herb;mediano
80;2826;B05;P1;LEE04;bf;bf1;LEE040312_E19;6;5,4800;-61,0858;17;10;2015;02:26:27;02:26:33;00:00:06;MP;C.paca;passing;1;5;herb;mediano
81;2828;B05;P1;LEE04;bf;bf1;LEE040312_E21;6;5,4800;-61,0858;18;10;2015;20:58:14;20:58:25;00:00:11;MP;C.paca;passing;1;5;herb;mediano
