;C.olivaceus;C.paca;C.thous;C.unicinctus;D.imperfecta;D.kappleri;D.leporina;D.marsupialis;D.novemcinctus;E.barbara;H.hydrohaeris;L.pardalis;L.tigrinus;L.wiedii;M.americana;M.gouazoubira;M.pratti;M.tridactyla;N.nasua;O.virginianus;P.concolor;P.maximus;P.onca;P.tajacu;S.venaticus;T.pecari;T.terrestris;T.tetradactyla
1;0;0;10;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
2;0;10;2;0;0;0;16;0;0;0;3;2;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0
3;1;32;0;0;8;17;59;2;3;6;0;0;0;0;10;18;0;8;8;1;0;5;2;1;0;1;11;2
4;0;28;5;1;1;6;36;0;5;4;0;5;0;2;4;19;0;2;0;0;2;2;6;0;0;0;1;2
5;6;61;26;0;5;7;45;0;4;9;0;4;0;0;3;6;0;2;0;0;4;0;6;0;0;1;2;1
6;1;134;1;1;0;4;35;0;5;2;0;3;0;0;3;5;0;2;0;0;3;1;0;1;0;0;0;0
7;0;53;0;0;0;0;2;0;1;0;0;2;0;0;0;1;0;0;0;0;14;0;9;0;1;0;0;0
8;0;18;9;0;0;4;39;1;4;0;0;4;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0
9;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
