Etiquetas de fila;animal 1;animal 2;animal 3;animal 4;animal 5;animal 6;animal 7;total;Hv;Pv(1 column);Pv(2 column);Pv(3 column)
danta;3;3;5;2;1;2;0;16;4,383561644;0,821917808;0,821917808;1,369863014
lapa;8;17;7;0;2;0;0;34;9,315068493;2,191780822;4,657534247;1,917808219
pauji;4;3;4;5;3;1;0;20;5,479452055;1,095890411;0,821917808;1,095890411
venado de sabana;24;5;2;2;0;0;0;33;9,04109589;6,575342466;1,369863014;0,547945205
cachicamo;0;1;1;0;0;0;0;2;0,547945205;0;0,273972603;0,273972603
pavo;0;1;2;2;2;0;0;7;1,917808219;0;0,273972603;0,547945205
picure;0;2;5;3;0;1;0;11;3,01369863;0;0,547945205;1,369863014
venado de monte;0;5;2;1;0;0;0;8;2,191780822;0;1,369863014;0,547945205
baquiro;0;0;4;3;0;0;1;8;2,191780822;0;0;1,095890411
gallina del monte;0;0;2;1;3;1;0;7;1,917808219;0;0;0,547945205
suma;39;37;34;19;11;5;1;146;;;;
